"","vid","nationality","condition","composition","conditions","new_label","n","mean","sd","lower_ci","upper_ci","selected"
"23","vid44","Levantine","cooking","female","Levantine-cooking","v_44_Levantine_cooking_female_preference",25,3.28,1.20830459735946,2.80635330136426,3.75364669863574,TRUE
"24","vid39","Ukraine","music","male","Ukraine-music","v_39_Ukraine_music_male_preference",18,3.27777777777778,1.12749360533236,2.75691187792447,3.79864367763108,TRUE
"25","vid2","Ukraine","cooking","male","Ukraine-cooking","v_2_Ukraine_cooking_male_preference",23,3.26086956521739,1.32175473258942,2.72069386061274,3.80104526982204,TRUE
"26","vid57","Levantine","music","female","Levantine-music","v_57_Levantine_music_female_preference",20,3.25,1.16415770318919,2.73979476618441,3.76020523381559,TRUE
"27","vid54","Levantine","music","female","Levantine-music","v_54_Levantine_music_female_preference",18,3.22222222222222,1.30859401674224,2.61769373811416,3.82675070633028,TRUE
"28","vid63","Levantine","music","male","Levantine-music","v_63_Levantine_music_male_preference",18,3.16666666666667,1.50489397711365,2.47145389395913,3.8618794393742,TRUE
"29","vid78","Levantine","music","male","Levantine-music","v_78_Levantine_music_male_preference",21,3.14285714285714,1.06234242529018,2.6884941314377,3.59722015427659,TRUE
"30","vid40","Ukraine","music","male","Ukraine-music","v_40_Ukraine_music_male_preference",24,3.125,1.19099885007063,2.64850997618085,3.60149002381915,TRUE
"31","vid59","Levantine","music","group","Levantine-music","v_59_Levantine_music_group_preference",20,3.1,1.29370947686346,2.53301724128582,3.66698275871418,TRUE
"32","vid31","Ukraine","music","female","Ukraine-music","v_31_Ukraine_music_female_preference",22,3.09090909090909,1.44449994343374,2.48730207401069,3.69451610780749,TRUE
"33","vid49","Levantine","cooking","male","Levantine-cooking","v_49_Levantine_cooking_male_preference",26,3.07692307692308,1.19743315214093,2.6166530493552,3.53719310449095,TRUE
"34","vid1","Ukraine","cooking","female","Ukraine-cooking","v_1_Ukraine_cooking_female_preference",23,3,1.20604537831105,2.50711248013611,3.49288751986389,TRUE
"35","vid24","Ukraine","music","female","Ukraine-music","v_24_Ukraine_music_female_preference",19,3,1.37436854187255,2.38201989115926,3.61798010884074,TRUE
"36","vid60","Levantine","music","group","Levantine-music","v_60_Levantine_music_group_preference",21,2.95238095238095,1.32197543381829,2.38697310945485,3.51778879530705,TRUE
"37","vid67","Levantine","music","female","Levantine-music","v_67_Levantine_music_female_preference",20,2.95,1.19097483291276,2.42804185684627,3.47195814315373,TRUE
"38","vid14","Ukraine","cooking","male","Ukraine-cooking","v_14_Ukraine_cooking_male_preference",17,2.94117647058824,1.2485285456936,2.34767458016237,3.5346783610141,TRUE
"39","vid41","Levantine","cooking","female","Levantine-cooking","v_41_Levantine_cooking_female_preference",24,2.91666666666667,1.13890361720181,2.46101869382771,3.37231463950562,TRUE
"40","vid21","Ukraine","music","male","Ukraine-music","v_21_Ukraine_music_male_preference",20,2.9,1.11921024787453,2.40949349504684,3.39050650495316,TRUE
"41","vid73","Levantine","music","male","Levantine-music","v_73_Levantine_music_male_preference",20,2.9,1.02083557106808,2.45260730586823,3.34739269413177,TRUE
"42","vid74","Levantine","music","male","Levantine-music","v_74_Levantine_music_male_preference",19,2.89473684210526,1.14962490704603,2.37781193911356,3.41166174509697,TRUE
"43","vid45","Levantine","cooking","group","Levantine-cooking","v_45_Levantine_cooking_group_preference",28,2.89285714285714,1.13330999042254,2.4730809614643,3.31263332424999,TRUE
